source_id,instrument,timestamp,data_type,oil_rigs,gas_rigs,misc_rigs,total_rigs,oil_rigs_delta_1w,gas_rigs_delta_1w,misc_rigs_delta_1w,total_rigs_delta_1w,energy_scarcity_trigger,oil_scarcity_trigger,gas_scarcity_trigger,total_scarcity_trigger,directional_bias,confidence,trigger_reason,unit,frequency,tos_status,gatekeeper_cleared,gatekeeper_id,raw_source_url,raw_file_name,source_sheet,normalized_at,trigger_components,trigger_threshold
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-10-10,RIG_COUNT,418,120,9,547,-4,2,0,-2,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-10-17,RIG_COUNT,418,121,9,548,0,1,0,1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-10-24,RIG_COUNT,420,121,9,550,2,0,0,2,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-10-31,RIG_COUNT,414,125,7,546,-6,4,-2,-4,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-11-06,RIG_COUNT,414,128,6,548,0,3,-1,2,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-11-14,RIG_COUNT,417,125,7,549,3,-3,1,1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-11-21,RIG_COUNT,419,127,8,554,2,2,1,5,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-11-26,RIG_COUNT,407,130,7,544,-12,3,-1,-10,True,True,False,True,bullish_energy_supply_risk,medium,Oil rigs fell by 12 WoW. Total rigs fell by 10 WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": true, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": true}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-12-04,RIG_COUNT,413,129,7,549,6,-1,0,5,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-12-12,RIG_COUNT,414,127,7,548,1,-2,0,-1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-12-19,RIG_COUNT,406,127,9,542,-8,0,2,-6,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-12-24,RIG_COUNT,409,127,9,545,3,0,0,3,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-12-30,RIG_COUNT,412,125,9,546,3,-2,0,1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2026-01-09,RIG_COUNT,409,124,11,544,-3,-1,2,-2,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2026-01-16,RIG_COUNT,410,122,11,543,1,-2,0,-1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2026-01-23,RIG_COUNT,411,122,11,544,1,0,0,1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2026-01-30,RIG_COUNT,411,125,10,546,0,3,-1,2,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2026-02-06,RIG_COUNT,412,130,9,551,1,5,-1,5,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2026-02-13,RIG_COUNT,409,133,9,551,-3,3,0,0,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2026-02-20,RIG_COUNT,409,133,9,551,0,0,0,0,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2026-02-27,RIG_COUNT,407,134,9,550,-2,1,0,-1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2026-03-06,RIG_COUNT,411,132,8,551,4,-2,-1,1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2026-03-13,RIG_COUNT,412,133,8,553,1,1,0,2,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
